"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*06c4o*","Lyle Foster","BUR","F","302","FA","WOL 1<br/>@BUR 1 F","96","3.69","0%","0%"
"*062pl*","Lisandro Martinez","MUN","D","304","FA","MUN 3<br/>@BHA 0 F","95.5","5.31","15%","-3%"
"*052cd*","Mason Mount","MUN","M","305","FA","MUN 3<br/>@BHA 0 F","94.25","4.1","9%","0%"
"*044w8*","Marcus Edwards","BUR","F","306","FA","WOL 1<br/>@BUR 1 F","93","4.04","0%","0%"
"*06mvz*","Savio","MCI","M","307","FA","AVL 2<br/>@MCI 1 F","92","3.83","89%","-1%"
"*05w91*","Hwang Hee-Chan","WOL","F","308","FA","WOL 1<br/>@BUR 1 F","91.5","3.52","0%","0%"
"*05mxa*","Joel Veltman","BHA","D","309","FA","MUN 3<br/>@BHA 0 F","91","3.79","0%","0%"
"*06pig*","Morato","NOT","D","311","FA","BOU 1<br/>@NOT 1 F","90.75","4.32","2%","+1%"
"*05tqz*","Rico Henry","BRF","D","310","FA","BRF 1<br/>@LIV 1 F","90.75","3.63","2%","0%"
"*02lp5*","Adam Smith","BOU","D","312","FA","BOU 1<br/>@NOT 1 F","89.5","4.07","3%","0%"
"*06mn8*","Rodrigo Gomes","WOL","M","313","FA","WOL 1<br/>@BUR 1 F","88.5","4.02","0%","0%"
"*04ge7*","Donyell Malen","AVL","F","314","FA","AVL 2<br/>@MCI 1 F","88.5","4.21","0%","0%"
"*06clt*","Justin Kluivert","BOU","M","315","FA","BOU 1<br/>@NOT 1 F","87","4.35","65%","+6%"
"*04yey*","Max Kilman","WHU","D","316","FA","LEE 0<br/>@WHU 3 F","86.25","4.11","0%","0%"
"*06y26*","Olivier Boscagli","BHA","D","317","FA","MUN 3<br/>@BHA 0 F","86","7.17","4%","0%"
"*05uhj*","Conor Bradley","LIV","D","318","FA","BRF 1<br/>@LIV 1 F","85.75","5.72","6%","-1%"
"*0700u*","Bafode Diakite","BOU","D","319","FA","BOU 1<br/>@NOT 1 F","85.25","4.74","7%","-5%"
"*06ew2*","Axel Disasi","CHE/WHU","D","320","FA","LEE 0<br/>@WHU 3 F","84.75","6.05","3%","0%"
"*043qy*","Lewis Cook","BOU","M","321","FA","BOU 1<br/>@NOT 1 F","84.5","4.69","3%","-1%"
"*04ge6*","Joe Willock","NEW","M","322","FA","NEW 0<br/>@FUL 2 F","84.5","3.52","3%","-1%"
"*05l27*","Jarrad Branthwaite","EVE","D","323","FA","EVE 0<br/>@TOT 1 F","84.25","8.43","73%","-7%"
"*04gw7*","Jadon Sancho","MUN/AVL","M","324","FA","AVL 2<br/>@MCI 1 F","84.25","3.66","0%","0%"
"*061vn*","Rodrigo Muniz","FUL","F","325","FA","NEW 0<br/>@FUL 2 F","84","4","90%","+2%"
"*06mn7*","Lucas Bergvall","TOT","M","326","FA","EVE 0<br/>@TOT 1 F","83.75","3.64","8%","-2%"
"*070g8*","Nicolo Savona","NOT","D","327","FA","BOU 1<br/>@NOT 1 F","82.25","5.88","1%","0%"
"*06xzd*","Charalampos Kostoulas","BHA","F","330","FA","MUN 3<br/>@BHA 0 F","82","3.9","12%","+1%"
"*04rzl*","Taiwo Awoniyi","NOT","F","328","FA","BOU 1<br/>@NOT 1 F","82","4.82","3%","0%"
"*06p5s*","Brajan Gruda","BHA","M","329","FA","MUN 3<br/>@BHA 0 F","82","4.56","0%","0%"
"*06zbm*","Cristhian Mosquera","ARS","D","332","FA","ARS 2<br/>@CRY 1 F","81.75","4.09","38%","+8%"
"*06zce*","Jhon Arias","WOL","M","331","FA","WOL 1<br/>@BUR 1 F","81.75","3.55","-","-"
"*05ogb*","Anthony Elanga","NEW","F","333","FA","NEW 0<br/>@FUL 2 F","81","2.53","50%","-3%"
"*06rma*","Marshall Munetsi","WOL","M","334","FA","WOL 1<br/>@BUR 1 F","81","6.23","0%","0%"
"*06onx*","Jean-Clair Todibo","WHU","D","335","FA","LEE 0<br/>@WHU 3 F","81","3.52","-","-"
"*05o6h*","Kai Havertz","ARS","F","336","FA","ARS 2<br/>@CRY 1 F","80.5","6.71","98%","-1%"
"*06mve*","Joshua Zirkzee","MUN","F","337","FA","MUN 3<br/>@BHA 0 F","80.25","3.34","4%","-1%"
"*068a0*","Andrey Santos","CHE","M","338","FA","CHE 1<br/>@SUN 2 F","79.5","2.94","21%","-1%"
"*06xzg*","Giorgi Mamardashvili","LIV","G","339","FA","BRF 1<br/>@LIV 1 F","79.25","7.92","7%","-1%"
"*05y5b*","Freddie Potts","WHU","M","340","FA","LEE 0<br/>@WHU 3 F","78.25","3.56","-","-"
"*06zwj*","Evann Guessand","AVL/CRY","F","341","FA","ARS 2<br/>@CRY 1 F","78","3.71","5%","-2%"
"*03yeg*","Tosin Adarabioyo","CHE","D","342","FA","CHE 1<br/>@SUN 2 F","77","4.81","3%","0%"
"*02m5b*","Chris Wood","NOT","F","344","FA","BOU 1<br/>@NOT 1 F","76.25","5.08","66%","-4%"
"*05yg5*","Toti","WOL","D","343","FA","WOL 1<br/>@BUR 1 F","76.25","4.01","0%","0%"
"*04ym7*","Lucas Perri","LEE","G","346","FA","LEE 0<br/>@WHU 3 F","76","4.75","14%","-4%"
"*072j8*","Pablo Felipe Pereira de Jesus","WHU","F","345","FA","LEE 0<br/>@WHU 3 F","76","5.43","0%","0%"
"*06r7k*","Emmanuel Agbadou","WOL","D","347","FA","WOL 1<br/>@BUR 1 F","74.75","5.34","-","-"
"*06nyw*","Jorge Cuenca","FUL","D","348","FA","NEW 0<br/>@FUL 2 F","73.75","4.92","2%","0%"
"*06pib*","Manuel Ugarte","MUN","M","349","FA","MUN 3<br/>@BHA 0 F","73.5","3.34","3%","0%"
"*070g9*","Soungoutou Magassa","WHU","M","350","FA","LEE 0<br/>@WHU 3 F","70","3.18","-","-"
"*03ar4*","Adam Armstrong","SOU/WOL","F","351","FA","WOL 1<br/>@BUR 1 F","69","4.93","-","-"
"*035n1*","Bertrand Traore","AVL/SUN","M","352","FA","CHE 1<br/>@SUN 2 F","68","5.67","0%","0%"
"*06dwm*","Jacob Bruun Larsen","BUR","F","353","FA","WOL 1<br/>@BUR 1 F","67.25","2.4","-","-"
"*02xtd*","Sam Johnstone","WOL","G","354","FA","WOL 1<br/>@BUR 1 F","67","5.58","0%","0%"
"*06v0l*","Chris Rigg","SUN","M","355","FA","CHE 1<br/>@SUN 2 F","66","3.67","5%","-1%"
"*06kqy*","Ayden Heaven","MUN","D","356","FA","MUN 3<br/>@BHA 0 F","65.5","3.85","4%","-3%"
"*06kwp*","Josh Acheampong","CHE","D","357","FA","CHE 1<br/>@SUN 2 F","65","3.82","3%","-2%"
"*02y6o*","Nathan Ake","MCI","D","358","FA","AVL 2<br/>@MCI 1 F","64.5","3.58","0%","0%"
"*063y7*","Destiny Udogie","TOT","D","359","FA","EVE 0<br/>@TOT 1 F","63.25","3.16","9%","0%"
"*045c8*","Gabriel Jesus","ARS","F","361","FA","ARS 2<br/>@CRY 1 F","62.75","4.48","3%","-1%"
"*06zqk*","David Moller Wolfe","WOL","D","360","FA","WOL 1<br/>@BUR 1 F","62.75","2.85","-","-"
"*06zqq*","Jorrel Hato","CHE","D","363","FA","CHE 1<br/>@SUN 2 F","61.75","2.81","41%","-13%"
"*05gvx*","Armando Broja","BUR","F","362","FA","WOL 1<br/>@BUR 1 F","61.75","2.57","0%","0%"
"*04amh*","Aaron Ramsdale","NEW","G","364","FA","NEW 0<br/>@FUL 2 F","61.5","5.12","0%","0%"
"*05oig*","Liam Delap","CHE","F","365","FA","CHE 1<br/>@SUN 2 F","61.25","2.19","12%","-1%"
"*06635*","Oliver Scarles","WHU","D","366","FA","LEE 0<br/>@WHU 3 F","60.5","4.65","-","-"
"*02lv9*","James Milner","BHA","M","367","FA","MUN 3<br/>@BHA 0 F","60.25","3.01","0%","0%"
"*0646f*","Alexander Isak","NEW/LIV","F","368","FA","BRF 1<br/>@LIV 1 F","59.75","4.27","100%","0%"
"*0687c*","Carlos Alcaraz","EVE","M","369","FA","EVE 0<br/>@TOT 1 F","59.25","2.96","7%","-4%"
"*03r93*","Joseph Gomez","LIV","D","370","FA","BRF 1<br/>@LIV 1 F","58.25","2.77","7%","-2%"
"*061y6*","Ryan Yates","NOT","M","373","FA","BOU 1<br/>@NOT 1 F","57.75","2.62","3%","+1%"
"*0328q*","Tom Cairney","FUL","M","371","FA","NEW 0<br/>@FUL 2 F","57.75","2.41","2%","-1%"
"*03xrs*","Axel Tuanzebe","BUR","D","372","FA","WOL 1<br/>@BUR 1 F","57.75","4.12","0%","0%"
"*070hi*","Merlin Rohl","EVE","M","374","FA","EVE 0<br/>@TOT 1 F","57.25","3.58","7%","-5%"
"*06y9n*","Jamie Gittens","CHE","F","376","FA","CHE 1<br/>@SUN 2 F","56.25","3.52","10%","+1%"
"*0626q*","Simon Adingra","SUN","M","375","FA","CHE 1<br/>@SUN 2 F","56.25","4.02","2%","-1%"
"*04ge9*","Eddie Nketiah","CRY","F","378","FA","ARS 2<br/>@CRY 1 F","55","4.58","6%","-2%"
"*064a0*","Wilfried Gnonto","LEE","F","377","FA","LEE 0<br/>@WHU 3 F","55","2.39","3%","-1%"
"*070hn*","Dilane Bakwa","NOT","F","379","FA","BOU 1<br/>@NOT 1 F","54.5","3.89","3%","-1%"
"*04qos*","Issa Diop","FUL","D","380","FA","NEW 0<br/>@FUL 2 F","51.5","3.96","4%","0%"
"*05uns*","Leon Bailey","AVL","M","381","FA","AVL 2<br/>@MCI 1 F","50.5","3.88","7%","-1%"
"*06v0s*","Eliezer Mayenda","SUN","F","382","FA","CHE 1<br/>@SUN 2 F","50.25","2.51","0%","0%"
"*06phw*","Federico Chiesa","LIV","F","383","FA","BRF 1<br/>@LIV 1 F","49.25","1.89","4%","-2%"
"*06kx1*","Justin Devenny","CRY","M","384","FA","ARS 2<br/>@CRY 1 F","48.5","2.31","3%","+1%"
"*03yr0*","Daniel James","LEE","M","385","FA","LEE 0<br/>@WHU 3 F","46.5","2.45","3%","0%"
"*062og*","Aaron Hickey","BRF","D","386","FA","BRF 1<br/>@LIV 1 F","45.25","2.15","2%","0%"
"*06y28*","Sebastiaan Bornauw","LEE","D","387","FA","LEE 0<br/>@WHU 3 F","45","3.75","1%","+1%"
"*02m11*","Matt Doherty","WOL","D","388","FA","WOL 1<br/>@BUR 1 F","44.75","4.07","0%","0%"
"*06mnn*","Chadi Riad","CRY","D","389","FA","ARS 2<br/>@CRY 1 F","43.5","4.83","3%","+3%"
"*061xw*","Joe Worrall","BUR","D","390","FA","WOL 1<br/>@BUR 1 F","43","3.91","-","-"
"*06ime*","Radu Dragusin","TOT","D","391","FA","EVE 0<br/>@TOT 1 F","42.5","4.25","0%","0%"
"*06ymt*","Marco Bizot","AVL","G","392","FA","AVL 2<br/>@MCI 1 F","40.5","5.79","2%","0%"
"*04fk8*","Victor Lindelof","MUN/AVL","D","394","FA","AVL 2<br/>@MCI 1 F","39.5","2.32","0%","0%"
"*04yjx*","Ki-Jana Hoever","WOL","D","393","FA","WOL 1<br/>@BUR 1 F","39.5","4.94","-","-"
"*0410j*","Tammy Abraham","CHE/AVL","F","395","FA","AVL 2<br/>@MCI 1 F","37.75","3.15","6%","+2%"
"*05uor*","Yoane Wissa","BRF/NEW","F","396","FA","NEW 0<br/>@FUL 2 F","37","1.95","79%","-9%"
"*066sd*","Myles Lewis-Skelly","ARS","D","397","FA","ARS 2<br/>@CRY 1 F","36.25","1.81","13%","-1%"
"*05oz3*","James Trafford","MCI","G","398","FA","AVL 2<br/>@MCI 1 F","35.5","8.88","39%","+7%"
"*06r6s*","Antonin Kinsky","TOT","G","400","FA","EVE 0<br/>@TOT 1 F","34.5","4.93","24%","+4%"
"*06zbp*","Max Dowman","ARS","M","399","FA","ARS 2<br/>@CRY 1 F","34.5","5.75","11%","-89%"
"*05r4h*","Lamare Bogarde","AVL","D","401","FA","AVL 2<br/>@MCI 1 F","33.75","1.21","3%","0%"
"*05yct*","Nathan Patterson","EVE","D","402","FA","EVE 0<br/>@TOT 1 F","33.75","4.82","2%","0%"
"*02t1k*","Nathaniel Clyne","CRY","D","403","FA","ARS 2<br/>@CRY 1 F","33","3.3","0%","0%"
"*072zs*","Nilson Angulo","SUN","F","404","FA","CHE 1<br/>@SUN 2 F","32.75","4.09","90%","-1%"
"*070h9*","Veljko Milosavljevic","BOU","D","405","FA","BOU 1<br/>@NOT 1 F","32.75","4.68","3%","0%"
"*05tr1*","Ethan Pinnock","BRF","D","406","FA","BRF 1<br/>@LIV 1 F","31.25","7.81","2%","0%"
"*06o2t*","Niclas Fullkrug","WHU","F","407","FA","LEE 0<br/>@WHU 3 F","31","3.88","0%","0%"
"*06onv*","Harrison Armstrong","EVE","M","408","FA","EVE 0<br/>@TOT 1 F","30","2.31","3%","-2%"
"*06v0m*","Luke O'Nien","SUN","M","410","FA","CHE 1<br/>@SUN 2 F","29.5","2.46","2%","-1%"
"*072zp*","Melker Ellborg","SUN","G","409","FA","CHE 1<br/>@SUN 2 F","29.5","9.83","1%","0%"
"*06xzc*","Stefanos Tzimas","BHA","F","411","FA","MUN 3<br/>@BHA 0 F","28.75","3.19","5%","-1%"
"*062x7*","Rico Lewis","MCI","D","412","FA","AVL 2<br/>@MCI 1 F","28.5","2.59","5%","-2%"
"*04qfq*","Matt O'Riley","BHA","M","414","FA","MUN 3<br/>@BHA 0 F","28","4.67","7%","-2%"
"*04d9r*","Angel Gomes","MUN/WOL","M","413","FA","WOL 1<br/>@BUR 1 F","28","2.33","-","-"
"*02yl5*","John Stones","MCI","D","415","FA","AVL 2<br/>@MCI 1 F","27.75","3.08","0%","0%"
"*02oo1*","Ben Davies","TOT","D","416","FA","EVE 0<br/>@TOT 1 F","27.5","9.17","2%","0%"
"*043c1*","Oleksandr Zinchenko","ARS/NOT","D","417","FA","BOU 1<br/>@NOT 1 F","27.25","5.45","0%","0%"
"*06195*","Tyler Dibling","SOU/EVE","M","419","FA","EVE 0<br/>@TOT 1 F","27","1.93","6%","-2%"
"*06l4i*","Tyrique George","CHE/EVE","F","420","FA","EVE 0<br/>@TOT 1 F","27","1.8","6%","-2%"
"*04sft*","Yves Bissouma","TOT","M","418","FA","EVE 0<br/>@TOT 1 F","27","2.45","0%","0%"
"*06fx0*","Altay Bayindir","MUN","G","421","FA","MUN 3<br/>@BHA 0 F","26.75","4.46","3%","-1%"
"*06ygm*","Jair Cunha","NOT","D","422","FA","BOU 1<br/>@NOT 1 F","26.25","2.92","3%","0%"
"*06v6m*","Max Weiss","BUR","G","423","FA","WOL 1<br/>@BUR 1 F","25.5","8.5","-","-"
"*05uhs*","James Mcatee","MCI/NOT","M","424","FA","BOU 1<br/>@NOT 1 F","23.75","1.7","6%","-1%"
"*06mrz*","Pedro Lima","WOL","D","425","FA","WOL 1<br/>@BUR 1 F","23.5","2.61","-","-"
"*06nv3*","Filip Jorgensen","CHE","G","427","FA","CHE 1<br/>@SUN 2 F","23","4.6","3%","-1%"
"*05g4d*","Dennis Cirkin","SUN","D","426","FA","CHE 1<br/>@SUN 2 F","23","2.88","0%","0%"
"*03sbh*","Enes Unal","BOU","F","428","FA","BOU 1<br/>@NOT 1 F","22.5","0.98","1%","0%"
"*06804*","Benoit Badiashile","CHE","D","429","FA","CHE 1<br/>@SUN 2 F","20.75","2.59","1%","0%"
"*04ge8*","Reiss Nelson","ARS/BRF","F","430","FA","BRF 1<br/>@LIV 1 F","19.5","1.95","2%","-1%"
"*06uzl*","Oliver Sonne","BUR","D","431","FA","WOL 1<br/>@BUR 1 F","19.5","2.79","-","-"
"*072zr*","Luca Netz","NOT","D","433","FA","BOU 1<br/>@NOT 1 F","19.25","2.75","1%","0%"
"*06uyd*","Diego Coppola","BHA","D","432","FA","MUN 3<br/>@BHA 0 F","19.25","3.85","0%","0%"
"*062cw*","Stefan Ortega","MCI/NOT","G","434","FA","BOU 1<br/>@NOT 1 F","19.25","6.42","0%","0%"
"*04spq*","Jack Harrison","LEE","M","435","FA","LEE 0<br/>@WHU 3 F","19","1.73","0%","0%"
"*03u2b*","Adama Traore","FUL/WHU","F","436","FA","LEE 0<br/>@WHU 3 F","19","0.79","0%","0%"
"*037mt*","Harrison Reed","FUL","M","437","FA","NEW 0<br/>@FUL 2 F","18.75","2.68","1%","0%"
"*06mnm*","Marc Guiu","SUN/CHE","F","438","FA","CHE 1<br/>@SUN 2 F","18","1.8","3%","-1%"
"*04u41*","Mateo Kovacic","MCI","M","440","FA","AVL 2<br/>@MCI 1 F","17.5","2.92","3%","-1%"
"*067x6*","Max Alleyne","MCI","D","439","FA","AVL 2<br/>@MCI 1 F","17.5","8.75","1%","-1%"
"*05ue7*","Frank Onyeka","BRF","M","441","FA","BRF 1<br/>@LIV 1 F","17.25","2.88","4%","-1%"
"*062p5*","Levi Colwill","CHE","D","442","FA","CHE 1<br/>@SUN 2 F","17","5.67","75%","-6%"
"*06fso*","Wataru Endo","LIV","M","443","FA","BRF 1<br/>@LIV 1 F","16.75","2.09","2%","-1%"
"*03m5i*","Freddie Woodman","LIV","G","444","FA","BRF 1<br/>@LIV 1 F","16.75","5.58","1%","0%"
"*05unu*","Romeo Lavia","CHE","M","445","FA","CHE 1<br/>@SUN 2 F","16.5","1.38","3%","0%"
"*05udw*","Romaine Mundle","SUN","F","446","FA","CHE 1<br/>@SUN 2 F","16","1.14","1%","0%"
"*072r2*","Lorenzo Lucca","NOT","F","447","FA","BOU 1<br/>@NOT 1 F","15.75","3.94","-","-"
"*066nn*","Ben Doak","LIV/BOU","F","448","FA","BOU 1<br/>@NOT 1 F","15.5","1.94","6%","-4%"
"*06v12*","Fer Lopez","WOL","F","449","FA","WOL 1<br/>@BUR 1 F","15.25","1.69","0%","0%"
"*070hh*","Christantus Uche","CRY","M","450","FA","ARS 2<br/>@CRY 1 F","14.25","1.02","0%","0%"
"*06xze*","Walter Benitez","CRY","G","451","FA","ARS 2<br/>@CRY 1 F","13.25","13.25","1%","0%"
"*05ojf*","Fabio Carvalho","BRF","M","452","FA","BRF 1<br/>@LIV 1 F","13","2.17","2%","-1%"
"*072pc*","Alex Toth","BOU","M","453","FA","BOU 1<br/>@NOT 1 F","13","1.44","1%","-1%"
"*06v02*","Joel Piroe","LEE","F","454","FA","LEE 0<br/>@WHU 3 F","12.25","0.77","2%","0%"
"*06qvu*","Tom Edozie","WOL","F","455","FA","WOL 1<br/>@BUR 1 F","12","4","0%","0%"
"*06qwj*","Ezra Mayers","WHU","D","456","FA","LEE 0<br/>@WHU 3 F","11.5","1.92","-","-"
"*02lo6*","Daniel Bentley","WOL","G","457","FA","WOL 1<br/>@BUR 1 F","11.25","3.75","0%","0%"
"*06kyx*","Andy Irving","WHU","M","458","FA","LEE 0<br/>@WHU 3 F","11","1.57","-","-"
"*06442*","Zach Abbott","NOT","D","459","FA","BOU 1<br/>@NOT 1 F","10.75","3.58","1%","-1%"
"*070gt*","John Victor","NOT","G","460","FA","BOU 1<br/>@NOT 1 F","10","2","1%","-1%"
"*06zbt*","Rio Cardines","CRY","M","461","FA","ARS 2<br/>@CRY 1 F","9","9","1%","-1%"
"*072py*","Souza","TOT","D","462","FA","EVE 0<br/>@TOT 1 F","8.5","2.12","1%","-1%"
"*068yr*","Hamed Traore","BOU","M","463","FA","BOU 1<br/>@NOT 1 F","8.25","8.25","-","-"
"*06yey*","Borna Sosa","CRY","D","465","FA","ARS 2<br/>@CRY 1 F","8","1.14","1%","0%"
"*06xzb*","Romelle Donovan","BRF","M","464","FA","BRF 1<br/>@LIV 1 F","8","2","0%","0%"
"*05tr8*","Christian Norgaard","ARS","M","467","FA","ARS 2<br/>@CRY 1 F","7.5","1.07","7%","+4%"
"*045yy*","Arthur Masuaku","SUN","D","466","FA","CHE 1<br/>@SUN 2 F","7.5","2.5","0%","0%"
"*04u40*","Kepa","ARS","G","468","FA","ARS 2<br/>@CRY 1 F","6.75","6.75","4%","+1%"
"*0703h*","Arnaud Kalimuendo","NOT","F","469","FA","BOU 1<br/>@NOT 1 F","6.75","0.75","2%","0%"
"*067yu*","Facundo Buonanotte","BHA/CHE/LEE","M","470","FA","LEE 0<br/>@WHU 3 F","6.5","1.62","3%","-1%"
"*06mul*","Jack Fletcher","MUN","M","471","FA","MUN 3<br/>@BHA 0 F","6.5","2.17","1%","-1%"
"*065ao*","Ethan Nwaneri","ARS","M","472","FA","ARS 2<br/>@CRY 1 F","6.25","1.04","4%","-2%"
"*0738b*","Jesse Derry","CHE","F","473","FA","CHE 1<br/>@SUN 2 F","6","6","100%","0%"
"*06eka*","Igor Julio","BHA/WHU","D","475","FA","MUN 3<br/>@BHA 0 F","5.5","1.38","3%","0%"
"*02lpl*","Seamus Coleman","EVE","D","474","FA","EVE 0<br/>@TOT 1 F","5.5","1.1","0%","0%"
"*06v0f*","Jenson Seelt","SUN","D","476","FA","CHE 1<br/>@SUN 2 F","5.25","2.62","1%","-1%"
"*04xjr*","Harvey Elliott","LIV/AVL","M","477","FA","AVL 2<br/>@MCI 1 F","4.75","0.95","5%","-2%"
"*03dxr*","Ashley Barnes","BUR","F","478","FA","WOL 1<br/>@BUR 1 F","4","0.57","-","-"
"*06v0c*","Shea Lacey","MUN","F","481","FA","MUN 3<br/>@BHA 0 F","3.5","1.17","4%","-1%"
"*06r9v*","Andres Garcia","AVL","D","479","FA","AVL 2<br/>@MCI 1 F","3.5","0.58","0%","0%"
"*06pez*","Mohamadou Kante","WHU","M","480","FA","LEE 0<br/>@WHU 3 F","3.5","0.32","-","-"
"*06zxx*","Divine Mukasa","MCI","M","485","FA","AVL 2<br/>@MCI 1 F","3","1.5","2%","+2%"
"*072j3*","Alysson Edward","AVL","F","487","FA","AVL 2<br/>@MCI 1 F","3","1","1%","-1%"
"*06mgp*","Luis Guilherme","WHU","M","483","FA","LEE 0<br/>@WHU 3 F","3","0.6","0%","0%"
"*04e1k*","Solly March","BHA","M","484","FA","MUN 3<br/>@BHA 0 F","3","0.75","0%","0%"
"*06dn2*","Zeki Amdouni","BUR","F","482","FA","WOL 1<br/>@BUR 1 F","3","0.75","-","-"
"*06fy5*","Mike Tresor","BUR","F","486","FA","WOL 1<br/>@BUR 1 F","3","0.5","-","-"
"*06s7s*","Harry Howell","BHA","F","488","FA","MUN 3<br/>@BHA 0 F","2.75","0.92","0%","0%"
"*06ewy*","Alex Murphy","NEW","D","490","FA","NEW 0<br/>@FUL 2 F","2.5","1.25","1%","0%"
"*06hcm*","Callum Marshall","WHU","F","489","FA","LEE 0<br/>@WHU 3 F","2.5","1.25","0%","0%"
"*06oav*","Guido Rodriguez","WHU","M","491","FA","LEE 0<br/>@WHU 3 F","2.5","0.42","0%","0%"
"*06uzu*","Mamadou Sarr","CHE","D","492","FA","CHE 1<br/>@SUN 2 F","2.25","0.75","2%","-1%"
"*06y4g*","Antoni Milambo","BRF","M","496","FA","BRF 1<br/>@LIV 1 F","2","2","2%","-1%"
"*072z1*","Jerome Abbey","WOL","M","493","FA","WOL 1<br/>@BUR 1 F","2","2","0%","0%"
"*048xg*","Josh Dasilva","BRF","M","494","FA","BRF 1<br/>@LIV 1 F","2","1","0%","0%"
"*06tf6*","Bendito Mantato","MUN","M","495","FA","MUN 3<br/>@BHA 0 F","2","2","0%","0%"
"*06r9h*","Romain Esse","CRY","M","498","FA","ARS 2<br/>@CRY 1 F","1.5","0.38","4%","-3%"
"*070hr*","Jonah Kusi-Asare","FUL","F","500","FA","NEW 0<br/>@FUL 2 F","1.5","0.21","3%","0%"
"*06hze*","Treymaurice Nyoni","LIV","M","501","FA","BRF 1<br/>@LIV 1 F","1.5","0.25","3%","-1%"
"*072o9*","Jocelin Ta Bi","SUN","F","497","FA","CHE 1<br/>@SUN 2 F","1.5","1.5","1%","-1%"
"*06492*","Sasa Kalajdzic","WOL","F","499","FA","WOL 1<br/>@BUR 1 F","1.5","1.5","-","-"
"*06nvg*","Jota Silva","NOT","F","502","FA","BOU 1<br/>@NOT 1 F","1.25","1.25","0%","0%"
"*06v0j*","Dan Neil","SUN","M","504","FA","CHE 1<br/>@SUN 2 F","1.25","0.42","0%","0%"
"*044i7*","Angus Gunn","NOT","G","503","FA","BOU 1<br/>@NOT 1 F","1.25","1.25","-","-"
"*072h9*","Joel Drakes-Thomas","CRY","F","506","FA","ARS 2<br/>@CRY 1 F","1","0.5","1%","-1%"
"*06zc3*","Jun'ai Byfield","TOT","D","505","FA","EVE 0<br/>@TOT 1 F","1","1","0%","0%"
"*05w9q*","Odsonne Edouard","CRY","F","507","FA","ARS 2<br/>@CRY 1 F","1","1","0%","0%"
"*03pig*","Jamaal Lascelles","NEW","D","508","FA","NEW 0<br/>@FUL 2 F","1","0.5","0%","0%"
"*06uns*","Tom Watson","BHA","F","510","FA","MUN 3<br/>@BHA 0 F","1","0.17","0%","-1%"
"*03brm*","Patrick Roberts","SUN","M","509","FA","CHE 1<br/>@SUN 2 F","1","1","-","-"
"*06uzv*","Dario Essugo","CHE","M","511","FA","CHE 1<br/>@SUN 2 F","0.75","0.25","3%","-1%"
"*062ft*","Tyrell Malacia","MUN","D","512","FA","MUN 3<br/>@BHA 0 F","0.75","0.25","0%","0%"
"*0414o*","James Maddison","TOT","M","515","FA","EVE 0<br/>@TOT 1 F","0.5","0.17","97%","+1%"
"*03ysd*","Sam Byram","LEE","D","513","FA","LEE 0<br/>@WHU 3 F","0.5","0.25","2%","+1%"
"*05nip*","Dane Scarlett","TOT","F","516","FA","EVE 0<br/>@TOT 1 F","0.5","0.25","1%","0%"
"*064op*","Tyler Fredricson","MUN","D","514","FA","MUN 3<br/>@BHA 0 F","0.5","0.5","0%","0%"
"*06qgn*","Shumaira Mheuka","CHE","F","518","FA","CHE 1<br/>@SUN 2 F","0.25","0.25","0%","0%"
"*06ib6*","Tawanda Chirewa","WOL","M","517","FA","WOL 1<br/>@BUR 1 F","0.25","0.12","-","-"
"*06v0y*","Luka Vuskovic","TOT","D","887","FA","EVE 0<br/>@TOT 1 F","0","0","83%","+2%"
"*05ylx*","Dejan Kulusevski","TOT","M","716","FA","EVE 0<br/>@TOT 1 F","0","0","69%","-13%"
"*0701y*","Giovanni Leoni","LIV","D","725","FA","BRF 1<br/>@LIV 1 F","0","0","5%","-2%"
"*06lox*","Mikey Moore","TOT","F","754","FA","EVE 0<br/>@TOT 1 F","0","0","4%","-1%"
"*05n3u*","Joe Gelhardt","LEE","F","641","FA","LEE 0<br/>@WHU 3 F","0","0","4%","-3%"
"*068a1*","Mykhailo Mudryk","CHE","M","762","FA","CHE 1<br/>@SUN 2 F","0","0","4%","+3%"
"*072mq*","Brian Madjo","AVL","F","730","FA","AVL 2<br/>@MCI 1 F","0","0","3%","0%"
"*0372y*","Matt Targett","NEW","D","869","FA","NEW 0<br/>@FUL 2 F","0","0","3%","+2%"
"*06uzt*","Mike Penders","CHE","G","799","FA","CHE 1<br/>@SUN 2 F","0","0","3%","-1%"
"*06qq9*","Luca Williams-Barnett","TOT","F","900","FA","EVE 0<br/>@TOT 1 F","0","0","3%","-2%"
"*03dwz*","Tom Heaton","MUN","G","673","FA","MUN 3<br/>@BHA 0 F","0","0","2%","+1%"
"*06zef*","Adam Aznou","EVE","D","547","FA","EVE 0<br/>@TOT 1 F","0","0","2%","-1%"
"*062p0*","Stefan Bajcetic","LIV","M","551","FA","BRF 1<br/>@LIV 1 F","0","0","2%","-1%"
"*06zbn*","Marli Salmon","ARS","D","835","FA","ARS 2<br/>@CRY 1 F","0","0","2%","+2%"
"*073ab*","Floyd Samba","MCI","M","836","FA","AVL 2<br/>@MCI 1 F","0","0","2%","+2%"
"*06r5d*","Yang Min-Hyeok","TOT","F","908","FA","EVE 0<br/>@TOT 1 F","0","0","2%","-1%"
