"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*05uoc*","Cristian Romero","TOT","D","131","FA","EVE 0<br/>@TOT 1 F","223.5","9.72","17%","-11%"
"*06v51*","Jaka Bijol","LEE","D","132","FA","LEE 0<br/>@WHU 3 F","223","8.92","63%","-16%"
"*04fk6*","Bernardo Silva","MCI","M","135","FA","AVL 2<br/>@MCI 1 F","222.5","5.86","100%","0%"
"*070cj*","Noah Okafor","LEE","F","134","FA","LEE 0<br/>@WHU 3 F","222.5","7.95","86%","-8%"
"*06y9o*","Igor Jesus","NOT","F","133","FA","BOU 1<br/>@NOT 1 F","222.5","6.01","83%","+3%"
"*062dt*","Joao Palhinha","TOT","M","136","FA","EVE 0<br/>@TOT 1 F","221.5","6.71","100%","0%"
"*05y9n*","Lewis Hall","NEW","D","137","FA","NEW 0<br/>@FUL 2 F","221.25","7.38","99%","+1%"
"*04fk1*","Pascal Gross","BHA","M","138","FA","MUN 3<br/>@BHA 0 F","216.5","11.39","96%","+3%"
"*05ubv*","Omari Hutchinson","IPS/NOT","F","139","FA","BOU 1<br/>@NOT 1 F","216","6.97","66%","-11%"
"*06uzo*","Zian Flemming","BUR","M","140","FA","WOL 1<br/>@BUR 1 F","215.75","7.44","0%","0%"
"*05nt6*","Eberechi Eze","CRY/ARS","M","141","FA","ARS 2<br/>@CRY 1 F","214.5","6.5","99%","+1%"
"*05748*","Ismaila Sarr","CRY","M","142","FA","ARS 2<br/>@CRY 1 F","214.5","7.66","99%","0%"
"*05tr9*","Mathias Jensen","BRF","M","143","FA","BRF 1<br/>@LIV 1 F","213","5.92","54%","-12%"
"*04mi4*","Callum Hudson-Odoi","NOT","F","144","FA","BOU 1<br/>@NOT 1 F","212","7.07","56%","-11%"
"*0521z*","James Justin","LEI/LEE","D","145","FA","LEE 0<br/>@WHU 3 F","211.5","7.29","51%","-15%"
"*068yd*","Joao Gomes","WOL","M","146","FA","WOL 1<br/>@BUR 1 F","211.25","6.04","28%","+2%"
"*05gcp*","Tomas Soucek","WHU","M","147","FA","LEE 0<br/>@WHU 3 F","210.75","6.02","0%","0%"
"*06ezb*","Micky van de Ven","TOT","D","148","FA","EVE 0<br/>@TOT 1 F","208.5","5.96","31%","+5%"
"*0522h*","Alexis Mac Allister","LIV","M","150","FA","BRF 1<br/>@LIV 1 F","206.75","5.59","85%","-5%"
"*06clz*","Malo Gusto","CHE","D","149","FA","CHE 1<br/>@SUN 2 F","206.75","6.08","22%","-8%"
"*06cmb*","Guglielmo Vicario","TOT","G","151","FA","EVE 0<br/>@TOT 1 F","206.25","6.65","8%","-5%"
"*06fvn*","Beto","EVE","F","152","FA","EVE 0<br/>@TOT 1 F","204.75","5.53","86%","-5%"
"*06fwx*","Santiago Bueno","WOL","D","153","FA","WOL 1<br/>@BUR 1 F","202.5","6.98","0%","0%"
"*05rb8*","Moises Caicedo","CHE","M","154","FA","CHE 1<br/>@SUN 2 F","202","6.12","78%","-8%"
"*06do9*","Milos Kerkez","LIV","D","155","FA","BRF 1<br/>@LIV 1 F","201.25","5.92","99%","+1%"
"*070f9*","Yeremy Pino","CRY","M","156","FA","ARS 2<br/>@CRY 1 F","201.25","5.92","89%","-4%"
"*04yo7*","Youri Tielemans","AVL","M","158","FA","AVL 2<br/>@MCI 1 F","200.75","8.03","100%","0%"
"*06ybp*","Thierno Barry","EVE","F","157","FA","EVE 0<br/>@TOT 1 F","200.75","5.28","14%","-2%"
"*06mpp*","Mats Wieffer","BHA","M","159","FA","MUN 3<br/>@BHA 0 F","198.75","7.64","92%","+1%"
"*070f4*","Ladislav Krejci","WOL","D","160","FA","WOL 1<br/>@BUR 1 F","196.25","7.01","0%","0%"
"*051kl*","Emiliano Buendia","AVL","M","161","FA","AVL 2<br/>@MCI 1 F","196","5.44","81%","-8%"
"*02lm7*","Jack Grealish","EVE","M","162","FA","EVE 0<br/>@TOT 1 F","195.75","9.79","90%","-2%"
"*070g7*","Nick Woltemade","NEW","F","163","FA","NEW 0<br/>@FUL 2 F","194.75","5.9","93%","-2%"
"*06y9m*","Maxim De Cuyper","BHA","D","164","FA","MUN 3<br/>@BHA 0 F","194.5","6.48","74%","-9%"
"*06rpm*","Mateus Mane","WOL","F","165","FA","WOL 1<br/>@BUR 1 F","194","7.19","0%","0%"
"*04abn*","Harvey Barnes","NEW","M","166","FA","NEW 0<br/>@FUL 2 F","192.5","5.2","95%","-3%"
"*06cms*","Sandro Tonali","NEW","M","167","FA","NEW 0<br/>@FUL 2 F","192.25","5.49","96%","+1%"
"*06fv8*","Mohammed Kudus","TOT","M","168","FA","EVE 0<br/>@TOT 1 F","192","10.11","99%","0%"
"*05opl*","Wesley Fofana","CHE","D","169","FA","CHE 1<br/>@SUN 2 F","190.75","7.63","10%","-7%"
"*070hq*","Piero Hincapie","ARS","D","170","FA","ARS 2<br/>@CRY 1 F","189.5","7.58","83%","-3%"
"*070fa*","Xavi Simons","TOT","M","171","FA","EVE 0<br/>@TOT 1 F","189.5","6.77","10%","-3%"
"*070gu*","Alex Jimenez","BOU","D","172","FA","BOU 1<br/>@NOT 1 F","189.25","6.1","100%","0%"
"*062p3*","Keane Lewis-Potter","BRF","M","173","FA","BRF 1<br/>@LIV 1 F","186.75","5.19","42%","-12%"
"*0554g*","Calvin Bassey","FUL","D","174","FA","NEW 0<br/>@FUL 2 F","184.25","6.14","10%","-3%"
"*06rm8*","Mathys Tel","TOT","F","175","FA","EVE 0<br/>@TOT 1 F","184","5.94","93%","-1%"
"*03gu4*","Harry Maguire","MUN","D","176","FA","MUN 3<br/>@BHA 0 F","183.75","7.99","85%","0%"
"*066r9*","Ehor Yarmolyuk","BRF","M","177","FA","BRF 1<br/>@LIV 1 F","182.25","4.93","6%","-2%"
"*06yb7*","Gabriel Gudmundsson","LEE","D","178","FA","LEE 0<br/>@WHU 3 F","181.75","5.68","5%","0%"
"*068yc*","Yasin Ayari","BHA","M","179","FA","MUN 3<br/>@BHA 0 F","181","6.24","49%","-2%"
"*04qfm*","Ryan Sessegnon","FUL","M","180","FA","NEW 0<br/>@FUL 2 F","180.5","6.69","12%","-2%"
"*05oeh*","Kenny Tete","FUL","D","181","FA","NEW 0<br/>@FUL 2 F","180","8.18","22%","-7%"
"*05gcs*","Sander Berge","FUL","M","182","FA","NEW 0<br/>@FUL 2 F","179.5","5.13","9%","-3%"
"*03am7*","Jacob Murphy","NEW","M","183","FA","NEW 0<br/>@FUL 2 F","179.25","5.43","21%","-10%"
"*06jgr*","Maxime Esteve","BUR","D","184","FA","WOL 1<br/>@BUR 1 F","178.75","5.26","0%","-"
"*0689w*","Georginio Rutter","BHA","F","185","FA","MUN 3<br/>@BHA 0 F","177.5","5.55","22%","+6%"
"*05udg*","Jose Sa","WOL","G","186","FA","WOL 1<br/>@BUR 1 F","175.75","7.64","0%","0%"
"*05r9b*","Martin Odegaard","ARS","M","187","FA","ARS 2<br/>@CRY 1 F","175.5","7.31","100%","0%"
"*03rzp*","Antonee Robinson","FUL","D","188","FA","NEW 0<br/>@FUL 2 F","174.25","7.92","98%","+1%"
"*05o4c*","Timothy Castagne","FUL","D","189","FA","NEW 0<br/>@FUL 2 F","173.25","5.78","4%","-2%"
"*062ci*","Kaoru Mitoma","BHA","M","190","FA","MUN 3<br/>@BHA 0 F","172.25","6.89","95%","-2%"
"*068yt*","Sasa Lukic","FUL","M","191","FA","NEW 0<br/>@FUL 2 F","171","6.58","20%","-8%"
"*05uel*","Kristoffer Ajer","BRF","D","192","FA","BRF 1<br/>@LIV 1 F","170.75","6.32","4%","-1%"
"*04sjt*","Alisson Becker","LIV","G","193","FA","BRF 1<br/>@LIV 1 F","170.25","6.55","50%","-1%"
"*06fwz*","Murillo","NOT","D","194","FA","BOU 1<br/>@NOT 1 F","169","6.76","28%","-2%"
"*0554i*","Joelinton","NEW","M","195","FA","NEW 0<br/>@FUL 2 F","168.5","6.24","17%","-4%"
"*0647t*","Lucas Paqueta","WHU","M","197","FA","LEE 0<br/>@WHU 3 F","167.75","9.32","0%","0%"
"*070hd*","Tolu Arokodare","WOL","F","196","FA","WOL 1<br/>@BUR 1 F","167.75","5.08","-","-"
"*06v06*","Tijjani Reijnders","MCI","M","198","FA","AVL 2<br/>@MCI 1 F","167.5","5.98","35%","-4%"
"*03pif*","Karl Darlow","LEE","G","199","FA","LEE 0<br/>@WHU 3 F","167.25","7.6","4%","0%"
"*062ts*","Djed Spence","TOT","D","200","FA","EVE 0<br/>@TOT 1 F","165.5","5.52","54%","-6%"
"*06mga*","Mads Hermansen","WHU","G","201","FA","LEE 0<br/>@WHU 3 F","165","9.17","0%","0%"
"*04adp*","Aaron Wan-Bissaka","WHU","D","202","FA","LEE 0<br/>@WHU 3 F","165","6.6","0%","0%"
"*052cb*","Ian Maatsen","AVL","D","203","FA","AVL 2<br/>@MCI 1 F","164.5","5.48","64%","-5%"
"*06fxu*","Ibrahim Sangare","NOT","M","204","FA","BOU 1<br/>@NOT 1 F","164.5","5.88","7%","-1%"
"*06v6n*","Quilindschy Hartman","BUR","D","205","FA","WOL 1<br/>@BUR 1 F","163.5","7.79","-","-"
"*070hc*","Brian Brobbey","SUN","F","206","FA","CHE 1<br/>@SUN 2 F","162.75","5.25","94%","-1%"
"*067ys*","Jack Hinshelwood","BHA","M","207","FA","MUN 3<br/>@BHA 0 F","162.75","6.03","62%","-10%"
"*070ha*","Florentino","BUR","M","208","FA","WOL 1<br/>@BUR 1 F","161.5","5.21","0%","-"
"*06eo0*","Lesley Ugochukwu","BUR","M","209","FA","WOL 1<br/>@BUR 1 F","160.5","4.59","-","-"
"*05oef*","Alphonse Areola","WHU","G","210","FA","LEE 0<br/>@WHU 3 F","160.25","8.01","0%","0%"
"*06yb9*","Reinildo","SUN","D","211","FA","CHE 1<br/>@SUN 2 F","159.75","6.39","5%","0%"
"*06ex4*","Josko Gvardiol","MCI","D","212","FA","AVL 2<br/>@MCI 1 F","159.25","8.85","100%","0%"
"*052ca*","Ezri Konsa","AVL","D","213","FA","AVL 2<br/>@MCI 1 F","158.5","4.66","23%","+2%"
"*05ts6*","Yerson Mosquera","WOL","D","214","FA","WOL 1<br/>@BUR 1 F","157.75","5.84","-","-"
"*05ylw*","Rodrigo Bentancur","TOT","M","215","FA","EVE 0<br/>@TOT 1 F","157","6.04","4%","0%"
"*03frx*","Ola Aina","NOT","D","216","FA","BOU 1<br/>@NOT 1 F","156.25","8.68","38%","+10%"
"*063hu*","Amadou Onana","AVL","M","217","FA","AVL 2<br/>@MCI 1 F","156.25","6.25","4%","0%"
"*068n8*","Noni Madueke","ARS","M","218","FA","ARS 2<br/>@CRY 1 F","155.5","5.98","78%","-10%"
